sciname_code	biogeographic_status_code	habitat_type_code	rank_code	kingdom	phylum	class	order	family	subfamily	tribe	higher_taxon_code_short	higher_taxon_code_full	taxon_code	sciname_short	sciname_author	sciname	sciname_html	sciname_valid	vernacular_name	vernacular_name_en	inpn_group1_label	inpn_group2_label	inpn_group3_label	inpn_url	additional_data	meta_create_date	meta_update_date	meta_last_action
5811		3	ES	Plantae		Equisetopsida	Hypnales	Brachytheciaceae					787051	Brachythecium coruscum	I.Hagen, 1908	Brachythecium coruscum I.Hagen, 1908	<i>Brachythecium coruscum</i> I.Hagen, 1908	Brachythecium tauriscorum Molendo, 1866			Bryophytes	Mousses		https://inpn.mnhn.fr/espece/cd_nom/5811	"{""updateComment"": {""source"": ""taxref_v16"", ""comment"": null, ""updatedBy"": """", ""cdRefOrigine"": 787051, ""commentUpdate"": null}}"		2024-05-16 00:00:00	I
55142		3	ES	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae			198385		55142	Thelidium ungeri	Körb., 1855	Thelidium ungeri Körb., 1855	<i>Thelidium ungeri</i> Körb., 1855	Thelidium pyrenophorum (Ach.) Körb., 1855			Ascomycètes	Lichens		https://inpn.mnhn.fr/espece/cd_nom/55142	"{""updateComment"": {""source"": ""taxref_v16"", ""comment"": null, ""updatedBy"": """", ""cdRefOrigine"": 55141, ""commentUpdate"": ""Taxon forcé en nom reconnu""}}"		2024-05-16 00:00:00	U
56862		3	VAR	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae			56856		675619	Lecidella elaeochroma var. flavicans	(Ach.) Hazsl., 1884	Lecidella elaeochroma var. flavicans (Ach.) Hazsl., 1884	<i>Lecidella elaeochroma </i>var.<i> flavicans</i> (Ach.) Hazsl., 1884	Lecidella elaeochroma (Ach.) M.Choisy, 1950			Ascomycètes	Lichens		https://inpn.mnhn.fr/espece/cd_nom/56862	"{""updateComment"": {""source"": ""taxref_v16"", ""comment"": null, ""updatedBy"": """", ""cdRefOrigine"": 56856, ""commentUpdate"": ""synonymie modifiée""}}"		2024-05-16 00:00:00	U
57833		3	SSES	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae			57832		57833	Cladonia foliacea subsp. foliacea	(Huds.) Willd., 1787	Cladonia foliacea subsp. foliacea (Huds.) Willd., 1787	<i>Cladonia foliacea </i>(Huds.) Willd., 1787 subsp.<i> foliacea</i>	Cladonia foliacea (Huds.) Willd., 1787			Ascomycètes	Lichens		https://inpn.mnhn.fr/espece/cd_nom/57833	"{""updateComment"": {""source"": ""taxref_v16"", ""comment"": null, ""updatedBy"": """", ""cdRefOrigine"": 57832, ""commentUpdate"": ""Taxon forcé en nom reconnu""}}"		2024-05-16 00:00:00	U
58523		3	VAR	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae			58519		58523	Lecanora cenisia var. melacarpa	(Nyl.) Boistel, 1903	Lecanora cenisia var. melacarpa (Nyl.) Boistel, 1903	<i>Lecanora cenisia </i>var.<i> melacarpa</i> (Nyl.) Boistel, 1903	Lecanora cenisia Ach., 1810			Ascomycètes	Lichens		https://inpn.mnhn.fr/espece/cd_nom/58523	"{""updateComment"": {""source"": ""taxref_v16"", ""comment"": null, ""updatedBy"": """", ""cdRefOrigine"": 58519, ""commentUpdate"": ""Taxon forcé en nom reconnu""}}"		2024-05-16 00:00:00	U
59093		3	VAR	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae			59092		59093	Ramalina farinacea var. farinacea	(L.) Ach., 1810	Ramalina farinacea var. farinacea (L.) Ach., 1810	<i>Ramalina farinacea </i>(L.) Ach., 1810 var.<i> farinacea</i>	Ramalina farinacea (L.) Ach., 1810			Ascomycètes	Lichens		https://inpn.mnhn.fr/espece/cd_nom/59093	"{""updateComment"": {""source"": ""taxref_v16"", ""comment"": null, ""updatedBy"": """", ""cdRefOrigine"": 59092, ""commentUpdate"": ""Taxon forcé en nom reconnu""}}"		2024-05-16 00:00:00	U
59094		3	VAR	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae			59092		59094	Ramalina farinacea var. reagens	B.de Lesd., 1920	Ramalina farinacea var. reagens B.de Lesd., 1920	<i>Ramalina farinacea </i>var.<i> reagens</i> B.de Lesd., 1920	Ramalina farinacea (L.) Ach., 1810			Ascomycètes	Lichens		https://inpn.mnhn.fr/espece/cd_nom/59094	"{""updateComment"": {""source"": ""taxref_v16"", ""comment"": null, ""updatedBy"": """", ""cdRefOrigine"": 59092, ""commentUpdate"": ""Taxon forcé en nom reconnu""}}"		2024-05-16 00:00:00	U
59095		3	VAR	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae			59092		59095	Ramalina farinacea var. hypoprotocetrarica	(W.L.Culb.) D.Hawksw., 1969	Ramalina farinacea var. hypoprotocetrarica (W.L.Culb.) D.Hawksw., 1969	<i>Ramalina farinacea </i>var.<i> hypoprotocetrarica</i> (W.L.Culb.) D.Hawksw., 1969	Ramalina farinacea (L.) Ach., 1810			Ascomycètes	Lichens		https://inpn.mnhn.fr/espece/cd_nom/59095	"{""updateComment"": {""source"": ""taxref_v16"", ""comment"": null, ""updatedBy"": """", ""cdRefOrigine"": 59092, ""commentUpdate"": ""Taxon forcé en nom reconnu""}}"		2024-05-16 00:00:00	U
59096		3	VAR	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae			59092		59096	Ramalina farinacea var. phalerata	(Ach.) Ach., 1810	Ramalina farinacea var. phalerata (Ach.) Ach., 1810	<i>Ramalina farinacea </i>var.<i> phalerata</i> (Ach.) Ach., 1810	Ramalina farinacea (L.) Ach., 1810			Ascomycètes	Lichens		https://inpn.mnhn.fr/espece/cd_nom/59096	"{""updateComment"": {""source"": ""taxref_v16"", ""comment"": null, ""updatedBy"": """", ""cdRefOrigine"": 59092, ""commentUpdate"": ""Taxon forcé en nom reconnu""}}"		2024-05-16 00:00:00	U
59097		3	VAR	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae			59092		59097	Ramalina farinacea var. multifida	Ach., 1810	Ramalina farinacea var. multifida Ach., 1810	<i>Ramalina farinacea </i>var.<i> multifida</i> Ach., 1810	Ramalina farinacea (L.) Ach., 1810			Ascomycètes	Lichens		https://inpn.mnhn.fr/espece/cd_nom/59097	"{""updateComment"": {""source"": ""taxref_v16"", ""comment"": null, ""updatedBy"": """", ""cdRefOrigine"": 59092, ""commentUpdate"": ""Taxon forcé en nom reconnu""}}"		2024-05-16 00:00:00	U
